Title,URL,HackerRank,LeetCode,CodeChef
3. Greedy Method -  Introduction,https://www.youtube.com/watch?v=ARvQcqJ_-NY,"https://www.hackerrank.com/challenges/greedy-florist/problem
https://www.hackerrank.com/challenges/minimum-absolute-difference-in-an-array/problem
https://www.hackerrank.com/challenges/luck-balance/problem
https://www.hackerrank.com/challenges/angry-children/problem
https://www.hackerrank.com/challenges/cloudy-day/problem
https://www.hackerrank.com/challenges/priyanka-and-toys/problem
https://www.hackerrank.com/challenges/maximum-perimeter-triangle/problem","https://leetcode.com/problems/assign-cookies/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
https://leetcode.com/problems/jump-game/
https://leetcode.com/problems/jump-game-ii/
https://leetcode.com/problems/gas-station/
https://leetcode.com/problems/partition-labels/
https://leetcode.com/problems/non-overlapping-intervals/
https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
https://leetcode.com/problems/lemonade-change/
https://leetcode.com/problems/queue-reconstruction-by-height/
https://leetcode.com/problems/boats-to-save-people/
https://leetcode.com/problems/candy/
https://leetcode.com/problems/wiggle-subsequence/
https://leetcode.com/problems/remove-k-digits/
https://leetcode.com/problems/maximum-units-on-a-truck/","https://www.codechef.com/learn/course/greedy-algorithms
https://www.codechef.com/practice/greedy-algorithms
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
3.1 Knapsack Problem - Greedy Method,https://www.youtube.com/watch?v=oTTzNMHM05I,"https://www.hackerrank.com/challenges/greedy-florist/problem
https://www.hackerrank.com/challenges/luck-balance/problem
https://www.hackerrank.com/challenges/angry-children/problem
https://www.hackerrank.com/challenges/minimum-absolute-difference-in-an-array/problem","https://leetcode.com/problems/maximum-units-on-a-truck/
https://leetcode.com/problems/bag-of-tokens/
https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/
https://leetcode.com/problems/two-city-scheduling/
https://leetcode.com/problems/boats-to-save-people/
https://leetcode.com/problems/assign-cookies/
https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/","https://www.codechef.com/learn/course/greedy-algorithms
https://www.codechef.com/practice/greedy-algorithms
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/tags/fractional-knapsack
https://discuss.codechef.com/t/cflos-editorial/80514"
3.2 Job Sequencing with Deadlines - Greedy Method,https://www.youtube.com/watch?v=zPtI8q9gvX8,,"https://leetcode.com/problems/maximum-profit-in-job-scheduling/
https://leetcode.com/problems/course-schedule-iii/",https://www.codechef.com/problems/SHDLE
3.3 Optimal Merge Pattern - Greedy Method,https://www.youtube.com/watch?v=HHIc5JZyenI,https://www.hackerrank.com/challenges/jesse-and-cookies/problem,"https://leetcode.com/problems/minimum-cost-to-connect-sticks/
https://leetcode.com/problems/minimum-cost-to-merge-stones/
https://leetcode.com/problems/minimum-cost-to-merge-sorted-lists/",
3.4 Huffman Coding - Greedy Method,https://www.youtube.com/watch?v=co4_ahEDCho,https://www.hackerrank.com/challenges/one-week-preparation-kit-tree-huffman-decoding/problem,,
3.5 Prims and Kruskals Algorithms - Greedy Method,https://www.youtube.com/watch?v=4ZlRH0eK-qQ,"https://www.hackerrank.com/challenges/primsmstsub/problem
https://www.hackerrank.com/challenges/kruskalmstrsub/problem
https://www.hackerrank.com/challenges/minimum-mst-graph/problem","https://leetcode.com/problems/min-cost-to-connect-all-points/
https://leetcode.com/problems/connecting-cities-with-minimum-cost/",https://www.codechef.com/learn/course/college-design-analysis-algorithms/CPDAA26/problems/DAA140
3.6 Dijkstra Algorithm - Single Source Shortest Path - Greedy Method,https://www.youtube.com/watch?v=XB4MIexjvY0,https://www.hackerrank.com/challenges/dijkstrashortreach/problem,"https://leetcode.com/problems/network-delay-time/
https://leetcode.com/problems/path-with-maximum-probability/
https://leetcode.com/problems/path-with-minimum-effort/
https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes/
https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/
https://leetcode.com/problems/find-edges-in-shortest-paths/",
4 Principle  of Optimality  - Dynamic Programming introduction,https://www.youtube.com/watch?v=5dRGRueKU3M,"https://www.hackerrank.com/challenges/max-array-sum/problem
https://www.hackerrank.com/challenges/coin-change/problem
https://www.hackerrank.com/challenges/abbreviation/problem","https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/min-cost-climbing-stairs/
https://leetcode.com/problems/house-robber/
https://leetcode.com/problems/coin-change/
https://leetcode.com/problems/unique-paths/
https://leetcode.com/problems/longest-increasing-subsequence/",https://www.codechef.com/problems/MIXTURES
4.1 MultiStage Graph - Dynamic Programming,https://www.youtube.com/watch?v=9iE9Mj4m8jk,,"https://leetcode.com/problems/cheapest-flights-within-k-stops/
https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/",
4.1.1 MultiStage Graph (Program) - Dynamic Programming,https://www.youtube.com/watch?v=FcScLYJI42E,,"https://leetcode.com/problems/cheapest-flights-within-k-stops/
https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/",
4.2 All Pairs Shortest Path (Floyd-Warshall) - Dynamic Programming,https://www.youtube.com/watch?v=oNI0rf2P9gE,https://www.hackerrank.com/challenges/floyd-city-of-blinding-lights/problem,"https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
https://leetcode.com/problems/course-schedule-iv/
https://leetcode.com/problems/design-graph-with-shortest-path-calculator/","https://www.codechef.com/problems/HOMDEL
https://www.codechef.com/problems/PROFTRIP
https://www.codechef.com/problems/ALLGRAPH"
4.3 Matrix Chain Multiplication - Dynamic Programming,https://www.youtube.com/watch?v=prx1psByp7U,https://www.hackerrank.com/challenges/bricks-game/problem,"https://leetcode.com/problems/burst-balloons/
https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
https://leetcode.com/problems/minimum-score-triangulation-of-polygon/",https://www.codechef.com/problems/MIXTURES
[New] Matrix Chain Multiplication using Dynamic Programming Formula,https://www.youtube.com/watch?v=_WncuhSJZyA,https://www.hackerrank.com/challenges/bricks-game/problem,"https://leetcode.com/problems/burst-balloons/
https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
https://leetcode.com/problems/minimum-score-triangulation-of-polygon/",https://www.codechef.com/problems/MIXTURES
4.3.1 Matrix Chain Multiplication (Program) - Dynamic Programming,https://www.youtube.com/watch?v=eKkXU3uu2zk,https://www.hackerrank.com/challenges/bricks-game/problem,"https://leetcode.com/problems/burst-balloons/
https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
https://leetcode.com/problems/minimum-score-triangulation-of-polygon/",https://www.codechef.com/problems/MIXTURES
4.4 Bellman Ford Algorithm - Single Source Shortest Path - Dynamic Programming,https://www.youtube.com/watch?v=FtN3BYH2Zes,https://www.hackerrank.com/challenges/dijkstrashortreach/problem,"https://leetcode.com/problems/cheapest-flights-within-k-stops/
https://leetcode.com/problems/network-delay-time/",https://www.codechef.com/problems/FARASA
4.5 0/1 Knapsack - Two Methods - Dynamic Programming,https://www.youtube.com/watch?v=nLmhmB6NzcM,"https://www.hackerrank.com/challenges/unbounded-knapsack/problem
https://www.hackerrank.com/challenges/max-array-sum/problem","https://leetcode.com/problems/partition-equal-subset-sum/
https://leetcode.com/problems/ones-and-zeroes/
https://leetcode.com/problems/last-stone-weight-ii/
https://leetcode.com/problems/target-sum/
https://leetcode.com/problems/profitable-schemes/",https://www.codechef.com/problems/KS2
4.5.1 0/1 Knapsack Problem (Program) - Dynamic Programming,https://www.youtube.com/watch?v=zRza99HPvkQ,https://www.hackerrank.com/challenges/unbounded-knapsack/problem,"https://leetcode.com/problems/partition-equal-subset-sum/
https://leetcode.com/problems/ones-and-zeroes/
https://leetcode.com/problems/last-stone-weight-ii/
https://leetcode.com/problems/target-sum/
https://leetcode.com/problems/profitable-schemes/",https://www.codechef.com/problems/KS2
4.6 Optimal Binary Search Tree (Successful Search Only) - Dynamic Programming,https://www.youtube.com/watch?v=vLS-zRCHo-Y,,"https://leetcode.com/problems/unique-binary-search-trees-ii/
https://leetcode.com/problems/unique-binary-search-trees/
https://leetcode.com/problems/minimum-cost-to-merge-stones/",
4.6.2 [New] Optimal Binary Search Tree Successful and Unsuccessful Probability - Dynamic Programming,https://www.youtube.com/watch?v=wAy6nDMPYAE,,"https://leetcode.com/problems/unique-binary-search-trees/
https://leetcode.com/problems/unique-binary-search-trees-ii/
https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/
https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/",
4.7 [New] Traveling Salesman Problem - Dynamic Programming using Formula,https://www.youtube.com/watch?v=Q4zHb-Swzro,https://www.hackerrank.com/challenges/tsp/problem,"https://leetcode.com/problems/shortest-path-visiting-all-nodes/
https://leetcode.com/problems/find-the-shortest-superstring/
https://leetcode.com/problems/min-cost-to-connect-all-points/",https://www.codechef.com/problems/TRAVEL
4.8 Reliability Design - Dynamic Programming,https://www.youtube.com/watch?v=uJOmqBwENB8,"https://www.hackerrank.com/challenges/max-array-sum/problem
https://www.hackerrank.com/challenges/maximize-it/problem
https://www.hackerrank.com/challenges/candies/problem","https://leetcode.com/problems/house-robber/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
https://leetcode.com/problems/integer-break/
https://leetcode.com/problems/partition-equal-subset-sum/
https://leetcode.com/problems/coin-change/
https://leetcode.com/problems/coin-change-ii/",
4.9 Longest Common Subsequence (LCS)  - Recursion and Dynamic Programming,https://www.youtube.com/watch?v=sSno9rV8Rhg,"https://www.hackerrank.com/challenges/common-child/problem
https://www.hackerrank.com/challenges/abbreviation/problem","https://leetcode.com/problems/longest-common-subsequence/
https://leetcode.com/problems/longest-palindromic-subsequence/
https://leetcode.com/problems/delete-operation-for-two-strings/
https://leetcode.com/problems/shortest-common-supersequence/
https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/
https://leetcode.com/problems/distinct-subsequences/
https://leetcode.com/problems/uncrossed-lines/",https://www.codechef.com/problems/LCS
5.1 Graph Traversals - BFS & DFS -Breadth First Search and Depth First Search,https://www.youtube.com/watch?v=pcKY4hjDrxk,"https://www.hackerrank.com/challenges/ctci-bfs-shortest-reach/problem
https://www.hackerrank.com/challenges/dfs-edges/problem
https://www.hackerrank.com/challenges/connected-cell-in-a-grid/problem
https://www.hackerrank.com/challenges/components-in-graph/problem
https://www.hackerrank.com/challenges/bfsshortreach/problem","https://leetcode.com/problems/number-of-islands/
https://leetcode.com/problems/clone-graph/
https://leetcode.com/problems/number-of-provinces/
https://leetcode.com/problems/keys-and-rooms/
https://leetcode.com/problems/flood-fill/
https://leetcode.com/problems/rotting-oranges/
https://leetcode.com/problems/pacific-atlantic-water-flow/
https://leetcode.com/problems/word-ladder/
https://leetcode.com/problems/open-the-lock/
https://leetcode.com/problems/is-graph-bipartite/
https://leetcode.com/problems/surrounded-regions/
https://leetcode.com/problems/shortest-path-in-binary-matrix/
https://leetcode.com/problems/binary-tree-level-order-traversal/",https://www.codechef.com/problems/FARASA
5.2 Articulation Point and Biconnected Components,https://www.youtube.com/watch?v=jFZsDDB0-vo,https://www.hackerrank.com/challenges/find-the-nearest-clone/problem,"https://leetcode.com/problems/critical-connections-in-a-network/
https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island/",
6 Introduction to Backtracking - Brute Force Approach,https://www.youtube.com/watch?v=DKCbsiDBN6c,"https://www.hackerrank.com/challenges/password-cracker/problem
https://www.hackerrank.com/challenges/recursive-digit-sum/problem
https://www.hackerrank.com/challenges/the-power-sum/problem","https://leetcode.com/problems/combination-sum/
https://leetcode.com/problems/permutations/
https://leetcode.com/problems/permutations-ii/
https://leetcode.com/problems/combinations/
https://leetcode.com/problems/subsets/
https://leetcode.com/problems/subsets-ii/
https://leetcode.com/problems/letter-combinations-of-a-phone-number/
https://leetcode.com/problems/combination-sum-ii/",https://www.codechef.com/problems/CANDY123
6.1 N Queens Problem using Backtracking,https://www.youtube.com/watch?v=xFv_Hl4B83A,,"https://leetcode.com/problems/n-queens/
https://leetcode.com/problems/n-queens-ii/",https://www.codechef.com/problems/NQUEENS
6.2 Sum Of Subsets Problem - Backtracking,https://www.youtube.com/watch?v=kyLxTdsT8ws,https://www.hackerrank.com/challenges/the-power-sum/problem,"https://leetcode.com/problems/combination-sum/
https://leetcode.com/problems/combination-sum-ii/
https://leetcode.com/problems/subsets/
https://leetcode.com/problems/subsets-ii/
https://leetcode.com/problems/combination-sum-iii/
https://leetcode.com/problems/target-sum/
https://leetcode.com/problems/partition-to-k-equal-sum-subsets/",https://www.codechef.com/problems/SUBSET
6.3 Graph Coloring Problem - Backtracking,https://www.youtube.com/watch?v=052VkKhIaQ4,https://www.hackerrank.com/challenges/the-great-xor/problem,"https://leetcode.com/problems/is-graph-bipartite/
https://leetcode.com/problems/possible-bipartition/
https://leetcode.com/problems/flower-planting-with-no-adjacent/
https://leetcode.com/problems/strange-printer-ii/",
6.4 Hamiltonian Cycle - Backtracking,https://www.youtube.com/watch?v=dQr4wZCiJJ4,https://www.hackerrank.com/challenges/bomber-man/problem,"https://leetcode.com/problems/unique-paths-iii/
https://leetcode.com/problems/shortest-path-visiting-all-nodes/
https://leetcode.com/problems/path-with-maximum-gold/
https://leetcode.com/problems/all-paths-from-source-to-target/",
7 Branch and Bound Introduction,https://www.youtube.com/watch?v=3RBNPc0_Q6g,https://www.hackerrank.com/challenges/password-cracker/problem,"https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
https://leetcode.com/problems/word-search/
https://leetcode.com/problems/n-queens/
https://leetcode.com/problems/sudoku-solver/",
7.1 Job Sequencing with Deadline - Branch and Bound,https://www.youtube.com/watch?v=M7Fl_z7_J2k,https://www.hackerrank.com/challenges/jim-and-the-skyscrapers/problem,"https://leetcode.com/problems/maximum-profit-in-job-scheduling/
https://leetcode.com/problems/course-schedule-iii/",https://www.codechef.com/problems/SHDLE
7.2 0/1 Knapsack using Branch and Bound,https://www.youtube.com/watch?v=yV1d-b_NeK8,https://www.hackerrank.com/challenges/unbounded-knapsack/problem,"https://leetcode.com/problems/partition-equal-subset-sum/
https://leetcode.com/problems/ones-and-zeroes/
https://leetcode.com/problems/last-stone-weight-ii/
https://leetcode.com/problems/target-sum/
https://leetcode.com/problems/profitable-schemes/",https://www.codechef.com/problems/KS2
7.3 Traveling Salesman Problem - Branch and Bound,https://www.youtube.com/watch?v=1FEP_sNb62k,https://www.hackerrank.com/challenges/tsp/problem,"https://leetcode.com/problems/shortest-path-visiting-all-nodes/
https://leetcode.com/problems/find-the-shortest-superstring/
https://leetcode.com/problems/min-cost-to-connect-all-points/",https://www.codechef.com/problems/TRAVEL
8. NP-Hard and NP-Complete Problems,https://www.youtube.com/watch?v=e2cF8a5aAhE,"https://www.hackerrank.com/challenges/clique/problem
https://www.hackerrank.com/challenges/the-power-sum/problem","https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
https://leetcode.com/problems/sudoku-solver/
https://leetcode.com/problems/n-queens/
https://leetcode.com/problems/unique-paths-iii/
https://leetcode.com/problems/n-queens-ii/
https://leetcode.com/problems/smallest-sufficient-team/",
8.1 NP-Hard Graph Problem - Clique Decision Problem,https://www.youtube.com/watch?v=qZs767KQcvE,https://www.hackerrank.com/challenges/clique/problem,"https://leetcode.com/problems/maximal-network-rank/
https://leetcode.com/problems/is-graph-bipartite/",
9.1 Knuth-Morris-Pratt KMP String Matching Algorithm,https://www.youtube.com/watch?v=V5-7GzOfADQ,"https://www.hackerrank.com/challenges/string-similarity/problem
https://www.hackerrank.com/challenges/string-construction/problem
https://www.hackerrank.com/challenges/build-a-string/problem","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
https://leetcode.com/problems/repeated-substring-pattern/
https://leetcode.com/problems/shortest-palindrome/
https://leetcode.com/problems/longest-happy-prefix/
https://leetcode.com/problems/repeated-string-match/","https://www.codechef.com/problems/TAPALIN
https://www.codechef.com/problems/NHAY"
9.2 Rabin-Karp String Matching Algorithm,https://www.youtube.com/watch?v=qQ8vS2btsxI,"https://www.hackerrank.com/challenges/string-similarity/problem
https://www.hackerrank.com/challenges/string-construction/problem","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
https://leetcode.com/problems/repeated-dna-sequences/
https://leetcode.com/problems/longest-duplicate-substring/
https://leetcode.com/problems/maximum-length-of-repeated-subarray/
https://leetcode.com/problems/repeated-string-match/
https://leetcode.com/problems/longest-happy-prefix/","https://www.codechef.com/problems/TAPALIN
https://www.codechef.com/problems/TALAZY"
10.1 AVL Tree - Insertion and Rotations,https://www.youtube.com/watch?v=jDM6_TnYIqE,"https://www.hackerrank.com/challenges/self-balancing-tree/problem
https://www.hackerrank.com/challenges/binary-search-tree-insertion/problem","https://leetcode.com/problems/balance-a-binary-search-tree/
https://leetcode.com/problems/insert-into-a-binary-search-tree/
https://leetcode.com/problems/delete-node-in-a-bst/
https://leetcode.com/problems/validate-binary-search-tree/
https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/",https://www.codechef.com/problems/BSTOPS
10.2  B Trees and B+ Trees. How they are useful in Databases,https://www.youtube.com/watch?v=aZjYr87r1b8,https://www.hackerrank.com/challenges/balanced-brackets/problem,"https://leetcode.com/problems/design-hashmap/
https://leetcode.com/problems/design-hashset/
https://leetcode.com/problems/lru-cache/",
Asymptotic Notations - Simplified,https://www.youtube.com/watch?v=ddsP7NecEBk,"https://www.hackerrank.com/challenges/runningtime/problem
https://www.hackerrank.com/challenges/quicksort1/problem","https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/sort-an-array/",
Hashing Technique - Simplified,https://www.youtube.com/watch?v=mFY0J5W8Udk,"https://www.hackerrank.com/challenges/ctci-ransom-note/problem
https://www.hackerrank.com/challenges/two-strings/problem
https://www.hackerrank.com/challenges/icecream-parlor/problem
https://www.hackerrank.com/challenges/count-triplets-1/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/group-anagrams/
https://leetcode.com/problems/intersection-of-two-arrays/
https://leetcode.com/problems/design-hashmap/
https://leetcode.com/problems/design-hashset/",https://www.codechef.com/problems/CHEFSTR1
Shortest Path Algorithms (Dijkstra and Bellman-Ford)  - Simplified,https://www.youtube.com/watch?v=2raV0H9KqY8,"https://www.hackerrank.com/challenges/dijkstrashortreach/problem
https://www.hackerrank.com/challenges/floyd-city-of-blinding-lights/problem","https://leetcode.com/problems/network-delay-time/
https://leetcode.com/problems/path-with-minimum-effort/
https://leetcode.com/problems/cheapest-flights-within-k-stops/
https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/",https://www.codechef.com/problems/SHORTESTPATH
BFS DFS - Simplified,https://www.youtube.com/watch?v=kyUpc_5705s,"https://www.hackerrank.com/challenges/bfsshortreach/problem
https://www.hackerrank.com/challenges/connected-cell-in-a-grid/problem
https://www.hackerrank.com/challenges/dfs-edges/problem","https://leetcode.com/problems/binary-tree-level-order-traversal/
https://leetcode.com/problems/number-of-islands/
https://leetcode.com/problems/clone-graph/
https://leetcode.com/problems/flood-fill/
https://leetcode.com/problems/rotting-oranges/
https://leetcode.com/problems/course-schedule/
https://leetcode.com/problems/find-if-path-exists-in-graph/",https://www.codechef.com/problems/GRAPHTRAV
Tower of Hanoi Problem - Made Easy,https://www.youtube.com/watch?v=q6RicK1FCUs,https://www.hackerrank.com/challenges/gena/problem,,
Row-Major and Column-Major Mapping,https://www.youtube.com/watch?v=MJZd6uPi88E,https://www.hackerrank.com/challenges/2d-array/problem,"https://leetcode.com/problems/spiral-matrix/
https://leetcode.com/problems/set-matrix-zeroes/
https://leetcode.com/problems/transpose-matrix/
https://leetcode.com/problems/reshape-the-matrix/",
Merge Sort Algorithm - Hindi,https://www.youtube.com/watch?v=zXhWPrMLXGo,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/merge-sort/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/merge-sorted-array/
https://leetcode.com/problems/sort-list/
https://leetcode.com/problems/count-of-smaller-numbers-after-self/
https://leetcode.com/problems/reverse-pairs/",https://www.codechef.com/problems/MRGSRT
Bresenham's Line Drawing Algorithm,https://www.youtube.com/watch?v=RGB-wlatStc,,,
DDA Line Drawing Algorithm - Computer Graphics,https://www.youtube.com/watch?v=W5P8GlaEOSI,,,
6. Everything about Variables in JAVA,https://www.youtube.com/watch?v=h1Sq8p2GL2g,"https://www.hackerrank.com/challenges/java-stdin-and-stdout-1/problem
https://www.hackerrank.com/challenges/java-datatypes/problem
https://www.hackerrank.com/challenges/java-int-to-string/problem","https://leetcode.com/problems/add-two-integers/
https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/reverse-integer/
https://leetcode.com/problems/palindrome-number/","https://www.codechef.com/problems/FLOW001
https://www.codechef.com/problems/FLOW002"
5. Everything about JAVA Data Types,https://www.youtube.com/watch?v=MuALK4KcNMc,"https://www.hackerrank.com/challenges/java-datatypes/problem
https://www.hackerrank.com/challenges/java-int-to-string/problem
https://www.hackerrank.com/challenges/java-currency-formatter/problem","https://leetcode.com/problems/reverse-integer/
https://leetcode.com/problems/palindrome-number/
https://leetcode.com/problems/add-binary/
https://leetcode.com/problems/convert-a-number-to-hexadecimal/","https://www.codechef.com/problems/FLOW001
https://www.codechef.com/problems/FLOW002"
4. Why public static void main(String args[ ]) ? JAVA,https://www.youtube.com/watch?v=On9mzziI2pU,"https://www.hackerrank.com/challenges/welcome-to-java/problem
https://www.hackerrank.com/challenges/java-stdin-and-stdout-1/problem",,
3. Why to Set Path ? JAVA,https://www.youtube.com/watch?v=OnbpCg96w0I,,,
2. Why and How Java is platform independent,https://www.youtube.com/watch?v=1xz7OxASXUc,"https://www.hackerrank.com/challenges/welcome-to-java/problem
https://www.hackerrank.com/challenges/java-stdin-and-stdout-1/problem",,
1. Why One should Learn Java - Introduction to Java,https://www.youtube.com/watch?v=-JYLuv7mmxM,"https://www.hackerrank.com/challenges/welcome-to-java/problem
https://www.hackerrank.com/challenges/java-stdin-and-stdout-1/problem
https://www.hackerrank.com/challenges/java-output-formatting/problem",,https://www.codechef.com/problems/FLOW001
4.7 Traveling Salesperson Problem - Dynamic Programming,https://www.youtube.com/watch?v=XaXsJJh-Q5Y,,"https://leetcode.com/problems/shortest-path-visiting-all-nodes/
https://leetcode.com/problems/find-the-shortest-superstring/",
